Date and time (UTC),Rocket,Flight number,Launch site,LSP,Payload (⚀ = CubeSat),Operator,Orbit,Function,Decay (UTC),Outcome, Remarks

7 January 02:19:21,Falcon 9 Block 5,Starlink V1.0-L2,Cape Canaveral SLC-40,SpaceX,Starlink x 60, SpaceX, Low Earth, Communications, In orbit, Operational,

7 January 15:20:14,Long March 3B/E,3B-Y62,Xichang LC-2,CASC,TJSW-5,Ministry of Agriculture and Rural Affairs,Geosynchronous,Technology demonstration,In orbit,Operational

15 January 02:53,Long March 2D,2D-Y58,Taiyuan LC-9,CASC,"Jilin-1 Kuanfu-01 (Wideband-01) 
ÑuSat 7 (Sophie) 
ÑuSat 8 (Marie) 
Tianqi-5","Chang Guang Satellite Technology
Satellogic
Satellogic
Guodian Gaoke","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Earth observation
Earth observation
Earth observation
Tech demonstration","In orbit
In orbit
In orbit
4 July 23:44,Long March 2D,2D-Y29,Jiuquan SLS-2,Jiuquan SLS-2,CASC,CASC
4 July 23:44,Shiyan-6 02,CAST,Low Earth (SSO),Technology demonstration,In orbit,Operational
6 July 01:00,Shavit-2,,Palmachim Airbase,Palmachim Airbase,IAI,IAI
6 July 01:00,Ofeq 16,Israel Ministry of Defence,Low Earth,Reconnaissance,In orbit,Operational
9 July 12:10,Long March 3B/E,3B-Y64,Xichang LC-3,Xichang LC-3,CASC,CASC
9 July 12:10,APStar 6D,APT Satellite Co.,Geosynchronous,Communications,In orbit,Operational
10 July 04:17,Kuaizhou 11,,Jiuquan,Jiuquan,ExPace,ExPace
10 July 04:17,Bilibili Video Satellite (Jilin-1 Gaofen-02E),Chang Guang Satellite Technology,Low Earth (SSO),Earth observation,10 July,Launch failure
10 July 04:17,CentiSpace-1 S2 (Xiangrikui 2),Beijing Future Navigation Technology,Low Earth (SSO),Technology demonstration,10 July,Launch failure
10 July 04:17,First flight of Kuaizhou 11.,First flight of Kuaizhou 11.,First flight of Kuaizhou 11.,First flight of Kuaizhou 11.,First flight of Kuaizhou 11.,First flight of Kuaizhou 11.
11 July 14:54,Falcon 9 Block 5,Starlink V1.0-L9,Kennedy LC-39A,Kennedy LC-39A,SpaceX,SpaceX
11 July 14:54,Starlink × 57,SpaceX,Low Earth,Communications,,
11 July 14:54,BlackSky Global 7,BlackSky Global,Low Earth,Earth observation,,
11 July 14:54,BlackSky Global 8,BlackSky Global,Low Earth,Earth observation,,
11 July 14:54,"Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8; first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".","Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8; first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".","Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8; first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".","Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8; first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".","Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8; first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".","Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8; first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1""."
14 July 20:51:27,H-IIA 202,F42,Tanegashima LA-Y1,Tanegashima LA-Y1,MHI,MHI
14 July 20:51:27,Hope (Al-Amal),Mohammed bin Rashid Space Centre,Areocentric,Mars orbiter,,
14 July 20:51:27,Emirates Mars Mission; first Emirati space probe.,Emirates Mars Mission; first Emirati space probe.,Emirates Mars Mission; first Emirati space probe.,Emirates Mars Mission; first Emirati space probe.,Emirates Mars Mission; first Emirati space probe.,Emirates Mars Mission; first Emirati space probe.
14 July 21:00–01:30,Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
14 July 21:00–01:30,ANASIS-II,Republic of Korea Army,Geosynchronous,Military communications,,
14 July 21:00–01:30,South Korea's first dedicated military communications satellite.,South Korea's first dedicated military communications satellite.,South Korea's first dedicated military communications satellite.,South Korea's first dedicated military communications satellite.,South Korea's first dedicated military communications satellite.,South Korea's first dedicated military communications satellite.
15 July 13:00,Minotaur IV / Orion 38,,MARS LP-0B,MARS LP-0B,Northrop Grumman,Northrop Grumman
15 July 13:00,NROL-129,NRO,Low Earth,Reconnaissance,,
23 July 14:26,Soyuz-2.1a,,Baikonur Site 31/6,Baikonur Site 31/6,Roscosmos,Roscosmos
23 July 14:26,Progress MS-15 / 76P,Roscosmos,Low Earth (ISS),ISS logistics,,
23 July 14:26,"At the end of its mission, Progress MS-15 will deorbit the Pirs module to make way for the arrival of Nauka in early 2021.","At the end of its mission, Progress MS-15 will deorbit the Pirs module to make way for the arrival of Nauka in early 2021.","At the end of its mission, Progress MS-15 will deorbit the Pirs module to make way for the arrival of Nauka in early 2021.","At the end of its mission, Progress MS-15 will deorbit the Pirs module to make way for the arrival of Nauka in early 2021.","At the end of its mission, Progress MS-15 will deorbit the Pirs module to make way for the arrival of Nauka in early 2021.","At the end of its mission, Progress MS-15 will deorbit the Pirs module to make way for the arrival of Nauka in early 2021."
23 July ,Long March 5,Y4,Wenchang LC-1,Wenchang LC-1,CASC,CASC
23 July ,Tianwen-1,CNSA,Areocentric,Mars orbiter and rover,,
23 July ,China's first independent Mars mission.,China's first independent Mars mission.,China's first independent Mars mission.,China's first independent Mars mission.,China's first independent Mars mission.,China's first independent Mars mission.
25 July 23:19,Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
25 July 23:19,SAOCOM 1B,CONAE,Low Earth (SSO),Earth observation,,
25 July 23:19,Sequoia (Capella 2),Capella Space,Low Earth (SSO),Earth observation,,
25 July 23:19,⚀  GNOMES-1,PlanetIQ,Low Earth (SSO),Radio occultation,,
25 July 23:19,The first attempt to launch a polar orbit mission from Cape Canaveral Air Force Station since the failure of a Transit 3A satellite launch in 1960. SmallSat Rideshare mission to deploy Sequoia and GNOMES-1.,The first attempt to launch a polar orbit mission from Cape Canaveral Air Force Station since the failure of a Transit 3A satellite launch in 1960. SmallSat Rideshare mission to deploy Sequoia and GNOMES-1.,The first attempt to launch a polar orbit mission from Cape Canaveral Air Force Station since the failure of a Transit 3A satellite launch in 1960. SmallSat Rideshare mission to deploy Sequoia and GNOMES-1.,The first attempt to launch a polar orbit mission from Cape Canaveral Air Force Station since the failure of a Transit 3A satellite launch in 1960. SmallSat Rideshare mission to deploy Sequoia and GNOMES-1.,The first attempt to launch a polar orbit mission from Cape Canaveral Air Force Station since the failure of a Transit 3A satellite launch in 1960. SmallSat Rideshare mission to deploy Sequoia and GNOMES-1.,The first attempt to launch a polar orbit mission from Cape Canaveral Air Force Station since the failure of a Transit 3A satellite launch in 1960. SmallSat Rideshare mission to deploy Sequoia and GNOMES-1.
28 July 21:29,Ariane 5 ECA,VA253,Kourou ELA-3,Kourou ELA-3,Arianespace,Arianespace
28 July 21:29,BSAT-4b,BSAT,Geosynchronous,Communications,,
28 July 21:29,Galaxy 30,Intelsat,Geosynchronous,Communications,,
28 July 21:29,MEV-2,Northrop Grumman,Geosynchronous,Satellite servicing,,
29 July 21:27,Proton-M / Briz-M P4,,Baikonur Site 200/39,Baikonur Site 200/39,Roscosmos,Roscosmos
29 July 21:27,Ekspress 80,RSCC,Geosynchronous,Communications,,
29 July 21:27,Ekspress 103,RSCC,Geosynchronous,Communications,,
30 July 11:50,Atlas V 541,AV-088,Cape Canaveral SLC-41,Cape Canaveral SLC-41,ULA,ULA
30 July 11:50,Perseverance,NASA / JPL,TMI to Martian surface,Mars rover,,
30 July 11:50,Ingenuity,NASA / JPL,TMI to Martian surface,Mars aircraft,,
30 July 11:50,Mars 2020 mission.,Mars 2020 mission.,Mars 2020 mission.,Mars 2020 mission.,Mars 2020 mission.,Mars 2020 mission.
30 July ,Rocket 3,Rocket 3.1,Kodiak,Kodiak,Astra,Astra
30 July ,⚀  TBA,TBA,Low Earth (SSO),TBA,,
30 July ,"First flight of Astra's Rocket 3 smallsat launch vehicle. Originally intended to be the second of two launches for the DARPA Launch Challenge, Rocket 3.1 (formerly ""2 or 3"") will be the first to launch a commercial payload after the loss of ""1 of 3"" during a prelaunch test.","First flight of Astra's Rocket 3 smallsat launch vehicle. Originally intended to be the second of two launches for the DARPA Launch Challenge, Rocket 3.1 (formerly ""2 or 3"") will be the first to launch a commercial payload after the loss of ""1 of 3"" during a prelaunch test.","First flight of Astra's Rocket 3 smallsat launch vehicle. Originally intended to be the second of two launches for the DARPA Launch Challenge, Rocket 3.1 (formerly ""2 or 3"") will be the first to launch a commercial payload after the loss of ""1 of 3"" during a prelaunch test.","First flight of Astra's Rocket 3 smallsat launch vehicle. Originally intended to be the second of two launches for the DARPA Launch Challenge, Rocket 3.1 (formerly ""2 or 3"") will be the first to launch a commercial payload after the loss of ""1 of 3"" during a prelaunch test.","First flight of Astra's Rocket 3 smallsat launch vehicle. Originally intended to be the second of two launches for the DARPA Launch Challenge, Rocket 3.1 (formerly ""2 or 3"") will be the first to launch a commercial payload after the loss of ""1 of 3"" during a prelaunch test.","First flight of Astra's Rocket 3 smallsat launch vehicle. Originally intended to be the second of two launches for the DARPA Launch Challenge, Rocket 3.1 (formerly ""2 or 3"") will be the first to launch a commercial payload after the loss of ""1 of 3"" during a prelaunch test."
July (TBD),Falcon 9 Block 5,Starlink V1.0-L10,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
July (TBD),Starlink × 58,SpaceX,Low Earth,Communications,,
July (TBD),SkySat 19–21,Planet Labs,Low Earth,Earth observation,,
July (TBD),Starlink SmallSat Rideshare mission to deploy SkySat 19–21.,Starlink SmallSat Rideshare mission to deploy SkySat 19–21.,Starlink SmallSat Rideshare mission to deploy SkySat 19–21.,Starlink SmallSat Rideshare mission to deploy SkySat 19–21.,Starlink SmallSat Rideshare mission to deploy SkySat 19–21.,Starlink SmallSat Rideshare mission to deploy SkySat 19–21.
July (TBD),Long March 3B/E,,Xichang,Xichang,CASC,CASC
July (TBD),Tiantong-1 02,China Satcom,Geosynchronous,Communications,,
July (TBD),Long March 4B,,Taiyuan LC-9,Taiyuan LC-9,CASC,CASC
July (TBD),Ziyuan III-03,Ministry of Natural Resources,Low Earth,Earth observation,,
July (TBD),Long March 6,,Taiyuan LC-16,Taiyuan LC-16,CASC,CASC
July (TBD),ÑuSat × 13,Satellogic,Low Earth (SSO),Earth observation,,
July (TBD),ÑuSat 9–21.,ÑuSat 9–21.,ÑuSat 9–21.,ÑuSat 9–21.,ÑuSat 9–21.,ÑuSat 9–21.
July (TBD),PSLV-QL,C49,Satish Dhawan FLP,Satish Dhawan FLP,ISRO,ISRO
July (TBD),RISAT-2BR2,ISRO,Low Earth,Earth observation,,
July (TBD),KSM × 4,Kleos Space,Low Earth,Navigation,,
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  August,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  August,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  August,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  August,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  August,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  August,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  August,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
1 August 04:27:00,Falcon 9 Block 5,,Kennedy LC-39A,Kennedy LC-39A,SpaceX,SpaceX
1 August 04:27:00,SXM 7,Sirius XM,Geosynchronous,Communications,,
6 August,Soyuz-2.1b / Fregat,,Plesetsk Site 43/3,Plesetsk Site 43/3,RVSN RF,RVSN RF
6 August,GLONASS-K 15 (K1 №3),VKS,Medium Earth,Navigation,,
18 August 01:51:10,Vega,VV16,Kourou ELV,Kourou ELV,Arianespace,Arianespace
18 August 01:51:10,Athena,Facebook,Low Earth (SSO),Communications,,
18 August 01:51:10,ESAIL,exactEarth,Low Earth (SSO),AIS ship tracking,,
18 August 01:51:10,GHGSat-C1 (Iris),GHGSat,Low Earth (SSO),Earth observation,,
18 August 01:51:10,NEMO-HD,UTIAS / Space-SI,Low Earth (SSO),Earth observation,,
18 August 01:51:10,ÑuSat 6 (Hypatia),Satellogic,Low Earth (SSO),Earth observation,,
18 August 01:51:10,UPMSat-2,UPM,Low Earth (SSO),Technology demonstrationEducation,,
18 August 01:51:10,ION CubeSat Carrier 1 (ION SCV LUCAS),D-Orbit,Low Earth (SSO),CubeSat deployer,,
18 August 01:51:10,⚀  Flock-4v × 26,Planet Labs,Low Earth (SSO),Earth observation,,
18 August 01:51:10,⚀   AMICal SAT,CSUG / MSU,Low Earth (SSO),Auroral science,,
18 August 01:51:10,⚀    DIDO-3,SpacePharma / ISA / ASI,Low Earth (SSO),Microgravity research,,
18 August 01:51:10,⚀  FSSCAT A & B,UPC,Low Earth (SSO),Earth observation,,
18 August 01:51:10,⚀  Lemur-2 × 8,Spire Global,Low Earth (SSO),Earth observation,,
18 August 01:51:10,⚀  OSM-1 Cicero,OSM,Low Earth (SSO),Radio occultation,,
18 August 01:51:10,⚀  NAPA-1 (RTAFSAT-1),RTAF,Low Earth (SSO),Earth observation,,
18 August 01:51:10,⚀  PICASSO,BIRA-IASB,Low Earth (SSO),Atmospheric research,,
18 August 01:51:10,⚀  SIMBA,RMI,Low Earth (SSO),Technology demonstration,,
18 August 01:51:10,⚀  SpaceBEE × 12,Swarm Technologies,Low Earth (SSO),Communications,,
18 August 01:51:10,⚀  TARS,Kepler,Low Earth (SSO),Communications,,
18 August 01:51:10,⚀  TRISAT,University of Maribor,Low Earth (SSO),Education,,
18 August 01:51:10,⚀  TTÜ100,TalTech,Low Earth (SSO),Earth observation,,
18 August 01:51:10,⚀  Tyvak 171,Tyvak,Low Earth (SSO),Technology demonstration,,
18 August 01:51:10,"Small Satellites Mission Service Proof of Concept (SSMS PoC) mission. Return to flight for Vega after the July 2019 launch failure. 53 satellites will be deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats will be deployed separately by the ION SCV LUCAS satellite. NEMO-HD and TRISAT are Slovenia's first satellites, and OSM-1 Cicero is Monaco's first satellite.","Small Satellites Mission Service Proof of Concept (SSMS PoC) mission. Return to flight for Vega after the July 2019 launch failure. 53 satellites will be deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats will be deployed separately by the ION SCV LUCAS satellite. NEMO-HD and TRISAT are Slovenia's first satellites, and OSM-1 Cicero is Monaco's first satellite.","Small Satellites Mission Service Proof of Concept (SSMS PoC) mission. Return to flight for Vega after the July 2019 launch failure. 53 satellites will be deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats will be deployed separately by the ION SCV LUCAS satellite. NEMO-HD and TRISAT are Slovenia's first satellites, and OSM-1 Cicero is Monaco's first satellite.","Small Satellites Mission Service Proof of Concept (SSMS PoC) mission. Return to flight for Vega after the July 2019 launch failure. 53 satellites will be deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats will be deployed separately by the ION SCV LUCAS satellite. NEMO-HD and TRISAT are Slovenia's first satellites, and OSM-1 Cicero is Monaco's first satellite.","Small Satellites Mission Service Proof of Concept (SSMS PoC) mission. Return to flight for Vega after the July 2019 launch failure. 53 satellites will be deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats will be deployed separately by the ION SCV LUCAS satellite. NEMO-HD and TRISAT are Slovenia's first satellites, and OSM-1 Cicero is Monaco's first satellite.","Small Satellites Mission Service Proof of Concept (SSMS PoC) mission. Return to flight for Vega after the July 2019 launch failure. 53 satellites will be deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats will be deployed separately by the ION SCV LUCAS satellite. NEMO-HD and TRISAT are Slovenia's first satellites, and OSM-1 Cicero is Monaco's first satellite."
26 August ,Delta IV Heavy,D-385,Cape Canaveral SLC-37B,Cape Canaveral SLC-37B,ULA,ULA
26 August ,Orion 10 / NROL-44,NRO,Geosynchronous,Reconnaissance,,
August (TBD),Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
August (TBD),Starlink × 60,SpaceX,Low Earth,Communications,,
August (TBD),Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.
August (TBD),Jielong 1,Y2,Jiuquan LA-4,Jiuquan LA-4,China Rocket,China Rocket
August (TBD),TBA,TBA,Low Earth,Earth observation,,
August (TBD),TBA,TBA,Low Earth,Earth observation,,
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  September ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  September ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  September ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  September ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  September ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  September ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  September ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
7 September ,Antares 230+,,MARS LP-0A,MARS LP-0A,Northrop Grumman,Northrop Grumman
7 September ,Cygnus NG-14,NASA,Low Earth (ISS),ISS logistics,,
7 September ,⚀  BeaverCube,MIT,Low Earth,Technology demonstration,,
7 September ,⚀  Bobcat-1,Ohio University,Low Earth,Technology demonstration,,
7 September ,⚀  PTD-2,NASA Ames,Low Earth,Technology demonstration,,
7 September ,⚀  NEUTRON-1,University of Hawaii,Low Earth,Technology demonstration,,
7 September ,⚀  RamSat,Oak Ridge Public Schools,Low Earth,Education,,
7 September ,⚀  SPOC,University of Georgia,Low Earth,Technology demonstration,,
7 September ,The ELaNa 31 mission will launch on this resupply flight.,The ELaNa 31 mission will launch on this resupply flight.,The ELaNa 31 mission will launch on this resupply flight.,The ELaNa 31 mission will launch on this resupply flight.,The ELaNa 31 mission will launch on this resupply flight.,The ELaNa 31 mission will launch on this resupply flight.
15 September ,Long March TBA,,Jiuquan SLS-2,Jiuquan SLS-2,CASC,CASC
15 September ,⚀  CAS-5B,CAMSAT,Low Earth (SSO),Amateur radio,,
15 September ,⚀  CAS-7A,CAMSAT,Low Earth (SSO),Amateur radio,,
15 September ,⚀  CAS-7C,CAMSAT,Low Earth (SSO),Amateur radio,,
Mid September (TBD),Falcon 9 Block 5,,Kennedy LC-39A,Kennedy LC-39A,SpaceX,SpaceX
Mid September (TBD),SpaceX Crew-1,SpaceX / NASA,Low Earth (ISS),Expedition 64/65,,
Mid September (TBD),"First operational Crew Dragon mission, as part of the Commercial Crew Program.","First operational Crew Dragon mission, as part of the Commercial Crew Program.","First operational Crew Dragon mission, as part of the Commercial Crew Program.","First operational Crew Dragon mission, as part of the Commercial Crew Program.","First operational Crew Dragon mission, as part of the Commercial Crew Program.","First operational Crew Dragon mission, as part of the Commercial Crew Program."
20 September ,Soyuz-2.1b / Fregat,,Plesetsk Site 43/4,Plesetsk Site 43/4,Roscosmos,Roscosmos
20 September ,Gonets-M 17,Gonets Satellite System,Low Earth,Communications,,
20 September ,Gonets-M 18,Gonets Satellite System,Low Earth,Communications,,
20 September ,Gonets-M 19,Gonets Satellite System,Low Earth,Communications,,
30 September ,Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
30 September ,GPS IIIA-04,U.S. Space Force,Medium Earth,Navigation,,
September (TBD),Atlas V 531,AV-090,Cape Canaveral SLC-41,Cape Canaveral SLC-41,ULA,ULA
September (TBD),NROL-101,NRO,TBA,Reconnaissance,,
September (TBD),Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
September (TBD),Starlink × 60,SpaceX,Low Earth,Communications,,
September (TBD),Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.
September (TBD),LauncherOne,F2,"Cosmic Girl, Mojave","Cosmic Girl, Mojave",Virgin Orbit,Virgin Orbit
September (TBD),⚀  CACTUS-1,Capitol Technology University,Low Earth,Technology demonstration,,
September (TBD),⚀  CAPE-3,University of Louisiana,Low Earth,Technology demonstration,,
September (TBD),⚀  ExoCube-2,NASA,Low Earth,Atmospheric research,,
September (TBD),⚀  INCA,NMSU,Low Earth,Ionospheric research,,
September (TBD),⚀  MiTEE-1,University of Michigan,Low Earth,Technology demonstration,,
September (TBD),"⚀  PICS 1, 2",Brigham Young University,Low Earth,Technology demonstration,,
September (TBD),⚀  PolarCube,Colorado Space Grant Consortium,Low Earth,Technology demonstration,,
September (TBD),⚀  Q-PACE (Cu-PACE),UCF,Low Earth,Microgravity research,,
September (TBD),⚀  RadFxSat-2 (Fox-1E),AMSAT,Low Earth,Technology demonstration,,
September (TBD),⚀  TechEdSat-7 (TES-7),"SJSU, NASA, University of Idaho",Low Earth,Technology demonstration,,
September (TBD),Launch of NASA's ELaNa 20 mission. Second flight of LauncherOne.,Launch of NASA's ELaNa 20 mission. Second flight of LauncherOne.,Launch of NASA's ELaNa 20 mission. Second flight of LauncherOne.,Launch of NASA's ELaNa 20 mission. Second flight of LauncherOne.,Launch of NASA's ELaNa 20 mission. Second flight of LauncherOne.,Launch of NASA's ELaNa 20 mission. Second flight of LauncherOne.
September (TBD),Long March 6,,Taiyuan LC-16,Taiyuan LC-16,CASC,CASC
September (TBD),TBA,TBA,Low Earth (SSO),Earth observation,,
September (TBD),PSLV,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
September (TBD),Amazônia-1,INPE,Low Earth (SSO),Earth observation,,
September (TBD),Whitney × 3,Capella Space,Low Earth (SSO),Earth observation,,
September (TBD),First Brazilian earth observation satellite.,First Brazilian earth observation satellite.,First Brazilian earth observation satellite.,First Brazilian earth observation satellite.,First Brazilian earth observation satellite.,First Brazilian earth observation satellite.
Q3 (TBD),Ceres-1,,Jiuquan,Jiuquan,Galactic Energy,Galactic Energy
Q3 (TBD),TBA,TBA,Low Earth,TBA,,
Q3 (TBD),TBA,TBA,Low Earth,TBA,,
Q3 (TBD),TBA,TBA,Low Earth,TBA,,
Q3 (TBD),"First flight of Ceres-1, carrying a main satellite and two passengers.","First flight of Ceres-1, carrying a main satellite and two passengers.","First flight of Ceres-1, carrying a main satellite and two passengers.","First flight of Ceres-1, carrying a main satellite and two passengers.","First flight of Ceres-1, carrying a main satellite and two passengers.","First flight of Ceres-1, carrying a main satellite and two passengers."
Q3 (TBD),Electron,,MARS LC-2,MARS LC-2,Rocket Lab,Rocket Lab
Q3 (TBD),Monolith,U.S. Space Force,Low Earth,Space weather,,
Q3 (TBD),"First launch from Rocket Lab Launch Complex 2 at the Mid-Atlantic Regional Spaceport in Wallops, flying the Space Force's STP-27RM mission.","First launch from Rocket Lab Launch Complex 2 at the Mid-Atlantic Regional Spaceport in Wallops, flying the Space Force's STP-27RM mission.","First launch from Rocket Lab Launch Complex 2 at the Mid-Atlantic Regional Spaceport in Wallops, flying the Space Force's STP-27RM mission.","First launch from Rocket Lab Launch Complex 2 at the Mid-Atlantic Regional Spaceport in Wallops, flying the Space Force's STP-27RM mission.","First launch from Rocket Lab Launch Complex 2 at the Mid-Atlantic Regional Spaceport in Wallops, flying the Space Force's STP-27RM mission.","First launch from Rocket Lab Launch Complex 2 at the Mid-Atlantic Regional Spaceport in Wallops, flying the Space Force's STP-27RM mission."
Q3 (TBD),Electron,,Mahia LC-1,Mahia LC-1,Rocket Lab,Rocket Lab
Q3 (TBD),Whitney 1,Capella Space,Low Earth,Earth observation,,
Q3 (TBD),Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
Q3 (TBD),SXM 8,Sirius XM,Geosynchronous,Communications,,
Q3 (TBD),PSLV-XL,C50,Satish Dhawan FLP,Satish Dhawan FLP,ISRO,ISRO
Q3 (TBD),RISAT-1A,ISRO,Low Earth (SSO),Earth observation,,
Q3 (TBD),PSLV-XL ,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
Q3 (TBD),Cartosat-3B,ISRO,Low Earth (SSO),Earth observation,,
Q3 (TBD),IMS-2 × 2,ISRO,Low Earth (SSO),Earth observation,,
Q3 (TBD),Microsat × 3,ISRO,Low Earth (SSO),Earth observation,,
Q3 (TBD),RS1,,TBA,TBA,ABL Space Systems,ABL Space Systems
Q3 (TBD),TBA,TBA,Low Earth,Flight test,,
Q3 (TBD),First flight.,First flight.,First flight.,First flight.,First flight.,First flight.
Q3 (TBD),SSLV,D1,Satish Dhawan FLP,Satish Dhawan FLP,ISRO,ISRO
Q3 (TBD),Microsat-2A,ISRO,Low Earth,Earth observation,,
Q3 (TBD),First flight of India's Small Satellite Launch Vehicle (SSLV).,First flight of India's Small Satellite Launch Vehicle (SSLV).,First flight of India's Small Satellite Launch Vehicle (SSLV).,First flight of India's Small Satellite Launch Vehicle (SSLV).,First flight of India's Small Satellite Launch Vehicle (SSLV).,First flight of India's Small Satellite Launch Vehicle (SSLV).
Q3 (TBD),Vega,VV17,Kourou ELV,Kourou ELV,Arianespace,Arianespace
Q3 (TBD),SEOSat-Ingenio,Hisdesat,Low Earth (SSO),Earth observation,,
Q3 (TBD),TARANIS,CNES,Low Earth (SSO),Earth observation,,
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  October ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  October ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  October ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  October ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  October ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  October ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  October ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
14 October ,Soyuz-2.1a,,Baikonur Site 31/6,Baikonur Site 31/6,Roscosmos,Roscosmos
14 October ,Soyuz MS-17,Roscosmos,Low Earth (ISS),Expedition 63/64,,
Mid October (TBD),Firefly Alpha,F1,Vandenberg SLC-2W,Vandenberg SLC-2W,Firefly,Firefly
Mid October (TBD),DREAM,Firefly,Low Earth (SSO),CubeSat deployer,,
Mid October (TBD),⚀  DFAST Demonstrator ,Benchmark Space,Low Earth (SSO),Technology demonstration,,
